product_id,product_name,category,sub_category,brand,description,tags,price,rating
APD001,Chacha Chaudhary Digest,Books,Comics,Westland,"Classic Indian comic featuring the clever Chacha Chaudhary and his alien friend Sabu, solving mysteries with wit and humour.","comics,Chacha Chaudhary,Indian,humour,classic",149,4.1
APD002,OnePlus Nord CE 4,Electronics,Smartphones,OnePlus,"Mid-range powerhouse with a 6.7-inch AMOLED display running at 120 Hz, Snapdragon 7 Gen 3 chipset, 50 MP dual camera, 100W SUPERVOOC charging, and OxygenOS for a clean, bloat-free experience.","smartphone,OnePlus,fast charging,AMOLED,5G",24999,4.4
APD003,The Power of Your Subconscious Mind,Books,Self-Help,Westland,"Dr Joseph Murphy's classic on harnessing the subconscious for success, health, and happiness through visualisation, affirmation, and belief.","self-help,mindset,subconscious,classic,motivation",199,4.2
APD004,Prestige Electric Kettle 1.5L,Home & Kitchen,Appliances,Prestige,"1.5-litre stainless-steel electric kettle with auto shut-off, concealed heating element, 1500W power, and 360-degree swivel base. Boils water in under 4 minutes.",,999,4.2
APD005,FabIndia Cotton Stole,Fashion,Accessories,FabIndia,"Handloom cotton stole with vegetable-dyed stripes, soft texture, and generous length. Adds an artisanal touch to any outfit.","stole,FabIndia,handloom,cotton,artisanal",799,4.1
APD006,Fastrack Reflex Play,Fashion,Watches,Fastrack,"Affordable smartwatch with 1.3-inch colour display, heart-rate tracking, SpO2, multiple sport modes, and up to 7-day battery life. Perfect for youngsters.","smartwatch,Fastrack,budget,fitness,youth",2495,3.9
APD007,An Era of Darkness by Shashi Tharoor,Books,Non-Fiction,Penguin,"A scathing examination of British colonialism in India, unpacking how imperial rule impoverished and destabilised the subcontinent.","non-fiction,history,colonialism,Tharoor,India",426,4.6
APD008,Decathlon Pull-Up Bar Doorway,Sports,Fitness Equipment,Decathlon,"Adjustable doorway pull-up bar fitting door frames 70–95 cm wide. Foam-padded grips, multi-grip positions, and no drilling required.","fitness,Decathlon,pull-up bar,doorway,upper body",1576,3.6
APD009, Biba Embroidered Palazzo Set ,Fashion,Women's Clothing,Biba,"Three-piece set including embroidered kurta, palazzo pants, and sheer dupatta. Festive colours and intricate thread work.","palazzo set,Biba,embroidered,festive,women",3154,4.4
APD010,Apple iPhone 16 Pro Max,Electronics,Smartphones,Apple,"Top-of-the-line iPhone with A18 Pro chip, 48 MP periscope telephoto lens, titanium body, USB-C Thunderbolt, and all-day battery life.","smartphone,apple,iPhone 16,Pro Max,titanium",162454,4.5
APD011,boAt Energyshroom PB300,Electronics,Power Banks,boAt,"10000 mAh compact power bank with 22.5W fast output, Type-C PD, smart IC protection, and a textured finish.",,1164,3.9
APD012,Milton Pro Cook Triply Kadhai,Home & Kitchen,Cookware,Milton,"Triply stainless-steel kadhai with even heat distribution, riveted handle, and induction-compatible base. 24 cm diameter for family-size cooking.","cookware,Milton,kadhai,triply,stainless steel",2999,4.3
APD013,Puma Yoga Leggings Women,Sports,Yoga,Puma,"High-waist yoga leggings with four-way stretch, moisture-wicking DryCELL tech, flatlock seams, and hidden waistband pocket.","yoga,Puma,leggings,women,DryCELL",2940,4.6
APD014,Samsung Galaxy M35 5G,Electronics,Smartphones,Samsung,"Durable mid-ranger with Exynos 1380, 6000 mAh battery, vapour cooling chamber, 50 MP camera, and Knox security.","smartphone,samsung,budget,long battery,5G",16999,4.0
APD015,Yonex Badminton Shoes Aero Comfort 3,Sports,Badminton,Yonex,"Lightweight court shoes with round sole design, Power Cushion, and hexagrip outsole for superior grip and stability on indoor courts.","badminton,Yonex,shoes,court,Power Cushion",3499,4.3
APD016,Milton Thermosteel Flask 1L,Home & Kitchen,Storage,Milton,1-litre vacuum-insulated stainless-steel flask that keeps beverages hot for 24 hours and cold for 48. Leak-proof flip lid and durable body.,"storage,Milton,flask,thermosteel,insulated",923,4.5
APD017,Apple MacBook Pro 14 M3 Pro,Electronics,Laptops,Apple,"Pro-level MacBook with M3 Pro chip, 14.2-inch Liquid Retina XDR display, 18 GB unified memory, 18-hour battery, and ProMotion 120 Hz.","laptop,apple,macbook pro,M3 Pro,professional",175989,3.6
APD018,Realme Buds Air 5 Pro,Electronics,Headphones,Realme,"Premium TWS earbuds with 50 dB ANC, Hi-Res Audio, LDAC codec, 40-hour battery, and spatial audio support.","earbuds,realme,ANC,LDAC,Hi-Res",4468,4.2
APD019,FabIndia Terracotta Vase,Home & Kitchen,Decor,FabIndia,"Handcrafted terracotta vase with earthy glaze and organic form. Each piece is unique, celebrating traditional Indian pottery techniques.","decor,FabIndia,vase,terracotta,handcrafted",708,3.6
APD020,Mindset by Carol Dweck,Books,Self-Help,Penguin,Stanford psychologist Carol Dweck explains the power of believing that your abilities can grow — the 'growth mindset' framework used by educators worldwide.,"self-help,mindset,growth,Carol Dweck,psychology",479,4.3
APD021,GoPro HERO12 Black,Electronics,Cameras,GoPro,"Action camera with 5.3K 60 fps video, HyperSmooth 6.0 stabilisation, waterproof to 10 m, HDR photo, and Bluetooth audio support.","camera,GoPro,action,5.3K,waterproof",42271,4.1
APD022,H.C. Verma Concepts of Physics Vol 1,Books,Academic,Scholastic,"Classic physics textbook for IIT-JEE aspirants covering mechanics, waves, and thermodynamics with conceptual problems and worked examples.","academic,physics,JEE,HC Verma,mechanics",499,4.7
APD023,Nike Essential Yoga Kit,Sports,Yoga,Nike,"Complete yoga starter kit including 4 mm mat, yoga strap, and carrying sling. Everything a beginner needs to start practising at home.","yoga,Nike,starter kit,mat,beginner",3995,4.2
APD024,The Immortals of Meluha,Books,Non-Fiction,Westland,Amish Tripathi reimagines Lord Shiva as a tribal chief in this mythological fiction-meets-thriller set in 1900 BCE Meluha.,"fiction,mythology,Shiva,Amish Tripathi,Indian",352,3.8
APD025,HomeTown Engineered Wood Study Desk,Home & Kitchen,Furniture,HomeTown,"Compact study desk with engineered wood top, metal frame, keyboard tray, and cable management hole. Space-efficient design for small rooms.","furniture,HomeTown,study desk,compact,engineered wood",5999,4.1
APD026,SG Savage Edition Cricket Bat,Sports,Cricket,SG,"Kashmir willow bat with concaved back profile for lightweight pick-up, treble spring handle, and SG branding. Tournament-ready.","cricket,SG,bat,Kashmir willow,concave",5481,3.8
APD027,The Alchemist by Paulo Coelho,Books,Fiction,HarperCollins,"An enchanting tale of Santiago, an Andalusian shepherd boy, who journeys to Egypt in search of treasure and discovers the true meaning of life.","fiction,Alchemist,Paulo Coelho,bestseller,adventure",299,4.5
APD028,Bajaj 1200W Dry Iron,Home & Kitchen,Appliances,Bajaj,"Lightweight dry iron with non-stick soleplate, adjustable temperature knob, LED indicator, and 1.8 m cord. Quick heating in under 2 minutes.","appliance,Bajaj,iron,dry,non-stick",734,4.2
APD029,Puma Velocity Nitro 3,Sports,Running,Puma,"Responsive daily trainer with NITRO foam, engineered mesh, PUMAGRIP outsole, and plush collar for long-run comfort. Versatile road running shoe.","running,Puma,Nitro,daily trainer,responsive",9999,4.4
APD030,Watchmen by Alan Moore,Books,Comics,Penguin,Groundbreaking graphic novel deconstructing the superhero genre. Set in an alternate 1985 where costumed vigilantes are outlawed. Time magazine's top 100 novels.,"comics,graphic novel,Alan Moore,superhero,classic",879,3.8
APD031,Realme Narzo 70 Pro,Electronics,Smartphones,Realme,"Budget 5G smartphone with Dimensity 7050, 120 Hz AMOLED display, 64 MP OIS camera, 5000 mAh battery, and 67W SUPERVOOC charging.","smartphone,realme,budget,5G,AMOLED",17999,4.1
APD032,HP Pavilion x360 14,Electronics,Laptops,HP,"Versatile 2-in-1 convertible laptop featuring a 14-inch FHD touchscreen, Intel Core i7, 16 GB RAM, 512 GB SSD, and HP Pen support. Easily switch between laptop and tablet modes.",,72990,4.2
APD033,JBL Live 770NC,Electronics,Headphones,JBL,,"headphones,JBL,ANC,hi-res,long battery",9999,4.4
APD034,Cello Steelox Casserole Set,Home & Kitchen,Cookware,Cello,"Set of 3 insulated stainless-steel casseroles that keep food warm for hours. BPA-free inner lids, sturdy handles, and elegant finish.","cookware,Cello,casserole,insulated,stainless steel",2010,4.0
APD035,Casio G-Shock GA-2100,Fashion,Watches,Casio,"Rugged octagonal watch with carbon core guard structure, 200 m water resistance, world time, LED light, and shock-resistant design.","watch,Casio,G-Shock,rugged,carbon",10995,4.6
APD036,Nilkamal Plastic Chair CHR 2180,Home & Kitchen,Furniture,Nilkamal,"Stackable moulded plastic chair with armrests, UV-stabilised material, and 150 kg load capacity. Affordable seating for events and home use.","furniture,Nilkamal,chair,stackable,UV stabilised",1148,3.7
APD037,Milton Vitro Plastic Jar Set,Home & Kitchen,Storage,Milton,Set of 12 BPA-free plastic jars with airtight screw-cap lids and transparent bodies. Keeps spices and pulses fresh for weeks.,"storage,Milton,jar,airtight,kitchen",499,4.2
APD038,boAt Energyshroom PB300,Electronics,Power Banks,boAt,"10000 mAh compact power bank with 22.5W fast output, Type-C PD, smart IC protection, and a textured finish.","power bank,boAt,10000mAh,22.5W,compact",1073,4.5
APD039,Peter England Nehru Jacket,Fashion,Men's Clothing,Peter England,"Structured Nehru jacket in cotton-linen blend with mandarin collar, front buttons, and welt pockets. Ideal for festive and semi-formal occasions.","jacket,Peter England,Nehru,festive,men",3811,3.9
APD040,Puma Yoga Block Set,Sports,Yoga,Puma,"Set of 2 high-density EVA foam blocks with rounded edges, lightweight and non-slip. Helps deepen stretches and maintain proper alignment.","yoga,Puma,block,EVA foam,alignment",799,4.1
APD041,boAt Airdopes 141,Electronics,Headphones,boAt,"True wireless earbuds with 8 mm drivers, 42 hours of total playback, ENx noise cancellation for calls, IPX4 sweat resistance, and low-latency gaming mode.","earbuds,boAt,TWS,wireless,budget",1099,4.0
APD042,Bajaj Immersion Water Heater,Home & Kitchen,Appliances,Bajaj,,"appliance,Bajaj,immersion heater,budget,ISI",599,3.8
APD043,Peter England Nehru Jacket,Fashion,Men's Clothing,Peter England,"Structured Nehru jacket in cotton-linen blend with mandarin collar, front buttons, and welt pockets. Ideal for festive and semi-formal occasions.","jacket,Peter England,Nehru,festive,men",2699,3.6
APD044,Adidas Linear Duffel Bag,Fashion,Accessories,Adidas,"Medium-sized duffel bag with adjustable shoulder strap, ventilated shoe compartment, and water-resistant base. Ideal for gym and travel.","duffel,adidas,gym,travel,water resistant",2499,4.2
APD045, Philips Juicer Mixer Grinder HL7579 ,Home & Kitchen,Appliances,Philips,"600W juicer mixer grinder with 3 jars, dedicated juicing attachment, and leak-proof design. From fruit juices to masala grinding — one appliance does it all.","appliance,Philips,juicer,mixer grinder,multipurpose",5315,4.1
APD046,Nike Heritage Waist Bag,Fashion,Accessories,Nike,"Adjustable waist bag with zippered main compartment, front pocket, and reflective details. Lightweight hands-free carry for runs and festivals.","waist bag,Nike,heritage,compact,reflective",1501,4.5
APD047,IKEA SMYCKA Artificial Flowers,Home & Kitchen,Decor,IKEA,Set of 3 lifelike artificial flowers with long stems. Maintenance-free and perfect for brightening any room year-round.,"decor,IKEA,flowers,artificial,colourful",299,3.9
APD048, Levi's 501 Original Jeans ,Fashion,Men's Clothing,Levi's,"The iconic straight-fit jeans with button fly, signature rivets, and heavyweight denim. A timeless American classic loved worldwide.","jeans,Levi's,501,original,straight fit",3999,4.4
APD049,boAt Energyshroom PB300,Electronics,Power Banks,boAt,"10000 mAh compact power bank with 22.5W fast output, Type-C PD, smart IC protection, and a textured finish.","power bank,boAt,10000mAh,22.5W,compact",882,4.1
APD050,Ambrane 10000 mAh Stylo,Electronics,Power Banks,Ambrane,"Slim 10000 mAh power bank with lithium-polymer cells, dual USB output, LED indicator, and Type-C input port.","power bank,Ambrane,10000mAh,slim,budget",899,3.9
APD051,Apple MacBook Pro 14 M3 Pro,Electronics,Laptops,Apple,"Pro-level MacBook with M3 Pro chip, 14.2-inch Liquid Retina XDR display, 18 GB unified memory, 18-hour battery, and ProMotion 120 Hz.","laptop,apple,macbook pro,M3 Pro,professional",197232,4.0
APD052,Nike Dri-FIT Cap,Fashion,Accessories,Nike,"Lightweight cap with Dri-FIT moisture-wicking tech, six-panel design, curved brim, and adjustable back strap. Keeps you cool in the sun.","cap,Nike,Dri-FIT,sports,sun protection",1495,4.2
APD053,Cello Novelty Compact Cupboard,Home & Kitchen,Storage,Cello,"Compact plastic cupboard with 2 shelves, hanging space, and ventilation grilles. Lightweight yet sturdy for small bedrooms and paying-guest accommodations.","storage,Cello,cupboard,plastic,compact",4999,4.0
